filename,class0,class1,class2,class3,mean
patient101_frame01.nii.gz,0.998188,0.8655857,0.802231,0.94914937,0.9037885
patient101_frame14.nii.gz,0.9982932,0.85116225,0.78512263,0.91720456,0.8879457
patient102_frame01.nii.gz,0.99842,0.86682695,0.84289294,0.946607,0.91368675
patient102_frame13.nii.gz,0.99860054,0.88698304,0.8628147,0.8329769,0.8953438
patient103_frame01.nii.gz,0.99771893,0.79593927,0.8493808,0.9417681,0.8962018
patient103_frame11.nii.gz,0.9975503,0.34292972,0.8557062,0.9124559,0.7771605
patient104_frame01.nii.gz,0.9959993,0.8306132,0.8282406,0.9332706,0.89703095
patient104_frame11.nii.gz,0.9972073,0.8037742,0.8847644,0.7190219,0.851192
patient105_frame01.nii.gz,0.99744356,0.9360898,0.79580706,0.88404155,0.9033455
patient105_frame10.nii.gz,0.9979851,0.8447122,0.8636517,0.75427544,0.8651562
patient106_frame01.nii.gz,0.99796665,0.95353824,0.79632473,0.95998466,0.92695355
patient106_frame13.nii.gz,0.99801457,0.94299614,0.78638506,0.9506121,0.91950196
patient107_frame01.nii.gz,0.99799657,0.90293837,0.7709208,0.9565795,0.9071088
patient107_frame10.nii.gz,0.99721396,0.78240126,0.83497363,0.87689894,0.87287194
patient108_frame01.nii.gz,0.9979173,0.90777355,0.83568996,0.93801063,0.9198479
patient108_frame09.nii.gz,0.9978172,0.8202287,0.86572593,0.73733526,0.85527676
patient109_frame01.nii.gz,0.99790967,0.9477273,0.8284718,0.9554516,0.9323901
patient109_frame10.nii.gz,0.99692667,0.923058,0.86178905,0.8760732,0.9144617
patient110_frame01.nii.gz,0.9987353,0.9430882,0.83577967,0.9385135,0.92902917
patient110_frame11.nii.gz,0.9981183,0.8353245,0.8878555,0.88231796,0.90090406
patient111_frame01.nii.gz,0.9971621,0.8434487,0.86591357,0.9222239,0.9071871
patient111_frame07.nii.gz,0.9985025,0.84531796,0.92924625,0.8812785,0.9135863
patient112_frame01.nii.gz,0.9975739,0.92856944,0.795343,0.9404498,0.915484
patient112_frame12.nii.gz,0.99733806,0.84299123,0.790295,0.8669921,0.8744041
patient113_frame01.nii.gz,0.99730724,0.92911816,0.82696086,0.96263874,0.9290062
patient113_frame08.nii.gz,0.9966179,0.8214134,0.85953844,0.9595115,0.90927035
patient114_frame01.nii.gz,0.9963641,0.82508224,0.8698897,0.90984017,0.90029407
patient114_frame11.nii.gz,0.9949933,0.7313294,0.87098235,0.81058866,0.8519734
patient115_frame01.nii.gz,0.9981702,0.9439222,0.8370633,0.94963586,0.9321979
patient115_frame13.nii.gz,0.99744266,0.8336252,0.862711,0.9200484,0.9034568
patient116_frame01.nii.gz,0.9979038,0.8680603,0.8228019,0.9185731,0.9018348
patient116_frame09.nii.gz,0.9981726,0.6897118,0.8766975,0.8721168,0.85917467
patient117_frame01.nii.gz,0.99643046,0.9091363,0.80935204,0.9594727,0.9185978
patient117_frame13.nii.gz,0.99652296,0.8328638,0.8323611,0.94525856,0.90175164
patient118_frame01.nii.gz,0.99893385,0.95016795,0.8944466,0.96399283,0.9518853
patient118_frame10.nii.gz,0.9982361,0.81728685,0.9206332,0.9593396,0.9238739
patient119_frame01.nii.gz,0.997918,0.95990705,0.7939572,0.95165664,0.9258597
patient119_frame09.nii.gz,0.99828947,0.91220754,0.8694871,0.93181926,0.9279508
patient120_frame01.nii.gz,0.99763876,0.81507874,0.80433947,0.9268944,0.8859878
patient120_frame08.nii.gz,0.9981304,0.7500818,0.83851236,0.9112599,0.8744961
patient121_frame01.nii.gz,0.9978149,0.9374734,0.85328496,0.96060777,0.93729526
patient121_frame10.nii.gz,0.99707866,0.9071291,0.87589264,0.826915,0.90175384
patient122_frame01.nii.gz,0.9980432,0.9202052,0.8379021,0.952663,0.92720336
patient122_frame06.nii.gz,0.99796695,0.8842926,0.84418195,0.9343181,0.9151899
patient123_frame01.nii.gz,0.99543774,0.8523723,0.7734257,0.877351,0.8746467
patient123_frame11.nii.gz,0.99736416,0.8371591,0.87176347,0.79026526,0.874138
patient124_frame01.nii.gz,0.99717534,0.9323697,0.7803581,0.9165008,0.906601
patient124_frame07.nii.gz,0.9969538,0.83615875,0.864739,0.89074254,0.8971485
patient125_frame01.nii.gz,0.9985212,0.9472776,0.8106082,0.95213276,0.92713493
patient125_frame07.nii.gz,0.9981969,0.8391463,0.87070155,0.93273705,0.91019547
patient126_frame01.nii.gz,0.99835944,0.93668956,0.79341865,0.95375603,0.92055595
patient126_frame07.nii.gz,0.9989055,0.93017507,0.83205426,0.9228435,0.9209945
patient127_frame01.nii.gz,0.9965087,0.8891825,0.81922925,0.95584196,0.9151906
patient127_frame07.nii.gz,0.99721944,0.86511165,0.8717185,0.91298497,0.91175866
patient128_frame01.nii.gz,0.9986047,0.9446085,0.79505044,0.9476871,0.9214877
patient128_frame11.nii.gz,0.99781036,0.8961486,0.8544063,0.86742604,0.90394783
patient129_frame01.nii.gz,0.9949745,0.8927995,0.6956245,0.92194927,0.87633693
patient129_frame08.nii.gz,0.9961455,0.88222486,0.76843953,0.8826981,0.88237697
patient130_frame01.nii.gz,0.9978279,0.94062036,0.86180216,0.9653166,0.9413917
patient130_frame11.nii.gz,0.9969763,0.8514958,0.86445385,0.85374343,0.89166737
patient131_frame01.nii.gz,0.99639875,0.90024036,0.7969024,0.9592053,0.9131867
patient131_frame09.nii.gz,0.9948886,0.7848518,0.81881315,0.9544856,0.88825977
patient132_frame01.nii.gz,0.9983988,0.9506512,0.8472744,0.95993906,0.9390658
patient132_frame15.nii.gz,0.99821734,0.93261594,0.85831845,0.9591791,0.9370827
patient133_frame01.nii.gz,0.9968981,0.8766061,0.7677178,0.950826,0.898012
patient133_frame10.nii.gz,0.996401,0.80775225,0.7634436,0.93849915,0.87652403
patient134_frame01.nii.gz,0.9972776,0.8927658,0.84463954,0.89882654,0.9083774
patient134_frame15.nii.gz,0.9971036,0.8339236,0.8561395,0.7330525,0.8550548
patient135_frame01.nii.gz,0.9979282,0.8767219,0.8029481,0.9522992,0.90747434
patient135_frame10.nii.gz,0.9978439,0.75352687,0.82043165,0.93495154,0.8766885
patient136_frame01.nii.gz,0.9975265,0.8462506,0.8004518,0.9507632,0.89874804
patient136_frame12.nii.gz,0.9972784,0.8122567,0.8015847,0.9013137,0.8781084
patient137_frame01.nii.gz,0.9957007,0.8836022,0.8120197,0.9324785,0.9059503
patient137_frame11.nii.gz,0.9964054,0.84955466,0.83469325,0.9079003,0.8971384
patient138_frame01.nii.gz,0.99716455,0.888677,0.8736236,0.91945904,0.9197311
patient138_frame10.nii.gz,0.997236,0.842086,0.91686505,0.7923558,0.88713574
patient139_frame01.nii.gz,0.9983642,0.95050704,0.7949281,0.94999915,0.9234496
patient139_frame08.nii.gz,0.998459,0.9123627,0.86463183,0.90180683,0.9193151
patient140_frame01.nii.gz,0.9964293,0.9318567,0.7448918,0.93943834,0.9031541
patient140_frame09.nii.gz,0.9966718,0.88930875,0.83775085,0.8862294,0.90249026
