filename,class0,class1,class2,class3,mean
BraTS2021_00006,0.9997512,0.9477646,0.9795014,0.9840851,0.9777756
BraTS2021_00014,0.9995192,0.7992315,0.7996174,0.8931456,0.87287843
BraTS2021_00028,0.9992649,0.8520576,0.89928347,0.7602858,0.8777229
BraTS2021_00054,0.9993056,0.7854703,0.92147654,0.9369272,0.910795
BraTS2021_00061,0.9990858,0.76406974,0.94700354,0.7026622,0.8532053
BraTS2021_00077,0.99922764,0.9540626,0.9775113,0.9656299,0.9741078
BraTS2021_00084,0.99876785,0.8975675,0.92694175,0.8581537,0.9203577
BraTS2021_00089,0.99961936,0.96345603,0.97322565,0.91048586,0.96169674
BraTS2021_00095,0.9993632,0.9366465,0.9826291,0.9768977,0.9738841
BraTS2021_00098,0.99871707,0.6153872,0.76353884,0.8106799,0.79708076
BraTS2021_00102,0.999707,0.71556354,0.6715441,0.81293416,0.7999372
BraTS2021_00108,0.9991489,0.7733813,0.8001853,0.9048876,0.8694008
BraTS2021_00112,0.9992904,0.7069668,0.7645485,0.9282171,0.8497557
BraTS2021_00115,0.9997755,0.95280373,0.9813321,0.9768424,0.97768843
BraTS2021_00117,0.99920964,0.7324423,0.77051747,0.90360075,0.8514426
BraTS2021_00121,0.999482,0.9546491,0.9652778,0.93380165,0.9633026
BraTS2021_00123,0.9990084,0.9512235,0.97109294,0.9611976,0.9706306
BraTS2021_00124,0.99817365,0.48626843,0.9662492,0.9003169,0.83775204
BraTS2021_00154,0.99933624,0.8101241,0.90240407,0.9438743,0.9139347
BraTS2021_00166,0.9990932,0.934922,0.9608082,0.92453897,0.95484054
BraTS2021_00177,0.9997681,0.95594937,0.9854636,0.98644185,0.98190576
BraTS2021_00201,0.99972916,0.93470323,0.9757061,0.9839217,0.9735151
BraTS2021_00217,0.9996981,0.9886213,0.98822033,0.9834644,0.990001
BraTS2021_00219,0.99994653,0.97767943,0.9845467,0.94795984,0.97753316
BraTS2021_00230,0.9996063,0.86388063,0.95814455,0.9552478,0.9442198
BraTS2021_00236,0.9997763,0.9450489,0.9617863,0.95592266,0.9656335
BraTS2021_00247,0.9994457,0.9267544,0.9376718,0.9657688,0.9574102
BraTS2021_00261,0.9995941,0.98069865,0.9927655,0.97404504,0.9867758
BraTS2021_00266,0.99956214,0.9413233,0.9781757,0.97847974,0.97438526
BraTS2021_00269,0.9998487,0.9617306,0.9766641,0.9861194,0.98109066
BraTS2021_00270,0.99932563,0.9568698,0.95516723,0.8772297,0.9471481
BraTS2021_00271,0.9995154,0.9575595,0.94675004,0.972318,0.9690357
BraTS2021_00273,0.99969107,0.91909754,0.97379416,0.9768013,0.9673461
BraTS2021_00284,0.99959123,0.7801629,0.75351214,0.8055222,0.8346971
BraTS2021_00294,0.9998391,0.9599873,0.9816752,0.99055696,0.98301464
BraTS2021_00297,0.9992469,0.81825125,0.92760617,0.92623377,0.9178345
BraTS2021_00317,0.9998524,0.9738513,0.98514515,0.977856,0.9841762
BraTS2021_00320,0.9989581,0.8242298,0.9192184,0.79993516,0.88558537
BraTS2021_00331,0.9994221,0.47058824,0.15377057,0.76781166,0.5978981
BraTS2021_00347,0.9997646,0.9505484,0.9811655,0.97591245,0.97684777
BraTS2021_00359,0.9998906,0.9747536,0.98517054,0.9875117,0.9868316
BraTS2021_00378,0.9997826,0.9205767,0.93370795,0.9505958,0.9511658
BraTS2021_00392,0.9998431,0.9403397,0.9705429,0.9710769,0.97045064
BraTS2021_00403,0.999888,0.94091505,0.96971744,0.9725928,0.97077835
BraTS2021_00410,0.999219,0.95477515,0.97729295,0.8757754,0.9517656
BraTS2021_00414,0.9996799,0.8923737,0.94108915,0.97402424,0.95179176
BraTS2021_00426,0.9997384,0.9738776,0.9858169,0.9844369,0.98596746
BraTS2021_00445,0.99970514,0.977387,0.9797538,0.9833024,0.9850371
BraTS2021_00451,0.9997172,0.9467142,0.9665743,0.98321253,0.9740546
