filename,class0,class1,class2,class3,mean
BraTS2021_00006,0.99970764,0.938891,0.979014,0.9812684,0.97472024
BraTS2021_00014,0.99945045,0.6528072,0.65173745,0.8619262,0.7914803
BraTS2021_00028,0.99940556,0.8646733,0.9189863,0.7957151,0.8946951
BraTS2021_00054,0.9992592,0.8008646,0.9342886,0.9325671,0.9167448
BraTS2021_00061,0.99916565,0.7248294,0.94413525,0.720779,0.8472273
BraTS2021_00077,0.9992485,0.95378065,0.97662073,0.966572,0.97405547
BraTS2021_00084,0.9992963,0.8987186,0.9232573,0.913306,0.93364453
BraTS2021_00089,0.9994848,0.96678597,0.9760693,0.8822115,0.95613784
BraTS2021_00095,0.9993764,0.9343686,0.98226637,0.9773879,0.9733498
BraTS2021_00098,0.99851334,0.56352544,0.72127056,0.77887356,0.7655457
BraTS2021_00102,0.9996435,0.64175826,0.64990205,0.7751406,0.7666111
BraTS2021_00108,0.9991631,0.76990026,0.79126835,0.90591735,0.8665623
BraTS2021_00112,0.9992857,0.5857118,0.6777407,0.9290147,0.7979382
BraTS2021_00115,0.99978197,0.9554498,0.9818139,0.97745556,0.9786253
BraTS2021_00117,0.9993176,0.74422675,0.77054375,0.91501164,0.85727495
BraTS2021_00121,0.99950624,0.956634,0.9673916,0.93661237,0.9650361
BraTS2021_00123,0.99890834,0.9569052,0.9752389,0.9571477,0.9720501
BraTS2021_00124,0.9981582,0.48474377,0.96412146,0.89936775,0.8365978
BraTS2021_00154,0.99938375,0.79024416,0.90293825,0.9475324,0.91002464
BraTS2021_00166,0.9994874,0.945756,0.9636524,0.95579,0.96617144
BraTS2021_00177,0.99977547,0.96473974,0.9882497,0.9868623,0.9849068
BraTS2021_00201,0.99976516,0.94494617,0.9791375,0.9860192,0.977467
BraTS2021_00217,0.99966216,0.98568034,0.98827547,0.9814975,0.9887789
BraTS2021_00219,0.999926,0.9805537,0.9858648,0.9281714,0.973629
BraTS2021_00230,0.999651,0.861268,0.9592926,0.95970786,0.9449799
BraTS2021_00236,0.99977905,0.9511767,0.9648678,0.95635444,0.96804446
BraTS2021_00247,0.99960595,0.9389716,0.939937,0.9752505,0.96344125
BraTS2021_00261,0.99972177,0.9812498,0.9927998,0.98202634,0.9889494
BraTS2021_00266,0.9995757,0.9478372,0.9804316,0.9790462,0.9767227
BraTS2021_00269,0.9998032,0.96460813,0.9790308,0.9820492,0.98137283
BraTS2021_00270,0.9993278,0.9227455,0.920743,0.8778421,0.93016464
BraTS2021_00271,0.9995632,0.95652175,0.9494031,0.9749196,0.9701019
BraTS2021_00273,0.9997333,0.9435563,0.978288,0.9797002,0.9753195
BraTS2021_00284,0.9996236,0.7660021,0.7579657,0.81343013,0.8342554
BraTS2021_00294,0.99983674,0.9670452,0.98537445,0.9903744,0.9856577
BraTS2021_00297,0.9992932,0.82056195,0.92585915,0.92994565,0.91891503
BraTS2021_00317,0.99986595,0.9690128,0.98085797,0.97979635,0.98238325
BraTS2021_00320,0.99924767,0.83171386,0.92893034,0.8457268,0.9014046
BraTS2021_00331,0.99937975,0.592068,0.29650506,0.7440039,0.6579892
BraTS2021_00347,0.9997773,0.95045197,0.9825657,0.97731215,0.9775268
BraTS2021_00359,0.99986297,0.9742727,0.9852637,0.9843413,0.98593515
BraTS2021_00378,0.9998211,0.9150538,0.9290241,0.9589815,0.95072013
BraTS2021_00392,0.9998722,0.9479041,0.97379774,0.976025,0.9743998
BraTS2021_00403,0.9999149,0.96991587,0.9838493,0.9790202,0.98317504
BraTS2021_00410,0.9994035,0.9667613,0.9785748,0.9011631,0.9614757
BraTS2021_00414,0.9997143,0.878351,0.9480318,0.97652125,0.95065457
BraTS2021_00426,0.9997263,0.9767682,0.9855474,0.9837788,0.98645514
BraTS2021_00445,0.99970114,0.9753708,0.9783505,0.9830036,0.98410654
BraTS2021_00451,0.99974406,0.9507735,0.97241557,0.98481756,0.97693765
BraTS2021_00453,0.99988586,0.94599575,0.9667483,0.9859306,0.97464013
BraTS2021_00455,0.9997871,0.96960825,0.977367,0.98325545,0.9825044
BraTS2021_00457,0.99970317,0.9421736,0.9788028,0.96927696,0.9724891
BraTS2021_00472,0.99947286,0.8969469,0.9588403,0.93914735,0.94860184
