filename,class0,class1,class2,class3,mean
BraTS2021_00006,0.9995811,0.91557246,0.97242534,0.9733862,0.9652413
BraTS2021_00014,0.999445,0.79177207,0.7935578,0.8683013,0.8632691
BraTS2021_00028,0.9996136,0.82348573,0.888012,0.8540836,0.8912987
BraTS2021_00054,0.99920994,0.78341275,0.9274145,0.9282788,0.90957904
BraTS2021_00061,0.99892586,0.7504882,0.9252599,0.6669106,0.8353962
BraTS2021_00077,0.99904317,0.9339695,0.9707776,0.95694643,0.96518415
BraTS2021_00084,0.9991387,0.86585957,0.86842275,0.89671564,0.9075342
BraTS2021_00089,0.9997617,0.94538975,0.95953196,0.94034344,0.9612567
BraTS2021_00095,0.99914587,0.9136035,0.97857773,0.96889615,0.96505576
BraTS2021_00098,0.99813306,0.41552848,0.56136084,0.7052312,0.6700634
BraTS2021_00102,0.99970967,0.4998004,0.46910995,0.8049001,0.69338006
BraTS2021_00108,0.99901974,0.75274724,0.7702255,0.8907929,0.8531963
BraTS2021_00112,0.9991416,0.64024246,0.6986772,0.91427827,0.8130849
BraTS2021_00115,0.9996396,0.9280046,0.971863,0.96273565,0.96556073
BraTS2021_00117,0.99931824,0.69915307,0.7628242,0.9141972,0.8438732
BraTS2021_00121,0.9994476,0.9516089,0.9614834,0.9285975,0.96028435
BraTS2021_00123,0.99860096,0.9437436,0.96829456,0.94500667,0.9639114
BraTS2021_00124,0.99823004,0.49032632,0.96387297,0.90405464,0.839121
BraTS2021_00154,0.99932134,0.7748946,0.8831001,0.9420204,0.8998341
BraTS2021_00166,0.99935186,0.9223564,0.95070595,0.94438666,0.95420027
BraTS2021_00177,0.9995701,0.9364706,0.98260653,0.9748468,0.97337353
BraTS2021_00201,0.99950856,0.92019546,0.9737518,0.97074187,0.96604943
BraTS2021_00217,0.9994339,0.9724326,0.9735082,0.96889657,0.97856784
BraTS2021_00219,0.9999099,0.95380175,0.9645744,0.9146678,0.9582385
BraTS2021_00230,0.99953616,0.8550809,0.9598514,0.94725275,0.9404303
BraTS2021_00236,0.9996591,0.93044823,0.95445704,0.9335295,0.95452344
BraTS2021_00247,0.9992835,0.9282326,0.93687046,0.9548937,0.95482004
BraTS2021_00261,0.9994308,0.95438784,0.9839623,0.9635043,0.9753213
