filename,class0,class1,class2,class3,mean
case_00236,0.9994513,0.95141196,0.9514113,0.9704243,0.9681747
case_00207,0.99991894,0.0648063,0.61365896,0.9844488,0.6657083
case_00212,0.9998129,0.72721756,0.72721756,0.9855589,0.85995173
case_00295,0.99978375,0.8072069,0.80723757,0.9780972,0.89808136
case_00547,0.99976856,0.32303953,0.5326191,0.9624001,0.7044568
case_00251,0.9993069,0.92474985,0.92473954,0.9589979,0.9519486
case_00577,0.9996121,0.89171547,0.91455275,0.972084,0.9444911
case_00548,0.99977374,0.32171836,0.7186795,0.9830846,0.7558141
case_00403,0.99982715,0.9392531,0.93961906,0.9759412,0.9636601
case_00450,0.99981946,0.9638713,0.9643519,0.98018587,0.9770571
case_00269,0.9999117,0.95513004,0.9490137,0.9815932,0.9714122
case_00201,0.9997269,0.795175,0.795175,0.98382294,0.89347494
case_00161,0.99979615,0.9353522,0.90544397,0.98002523,0.9551544
case_00043,0.99990565,0.9341082,0.9341082,0.9838667,0.9629972
case_00217,0.9997719,0.91505146,0.9101176,0.96999264,0.9487334
case_00501,0.99992406,0.8953516,0.8806163,0.96935505,0.9363117
case_00190,0.99985766,0.92896503,0.95540756,0.9848713,0.96727544
case_00409,0.9998458,0.9330493,0.93244934,0.9834404,0.96219623
case_00259,0.99972355,0.949793,0.949793,0.9625536,0.9654658
case_00105,0.9991443,0.49822873,0.5068304,0.8611248,0.7163321
case_00053,0.9998147,0.9666021,0.9666021,0.9787322,0.9779378
case_00489,0.9997632,0.9478068,0.9478073,0.97472835,0.9675264
case_00001,0.9997088,0.16105476,0.59741014,0.9713137,0.68237185
case_00532,0.99972624,0.54348755,0.542143,0.9732166,0.7646433
case_00571,0.99978244,0.8746011,0.87226236,0.97686243,0.9308771
case_00049,0.99980533,0.7829121,0.7829121,0.9748581,0.8851219
case_00080,0.99987984,0.9418747,0.9418624,0.98638415,0.96750027
case_00205,0.99989885,0.74176127,0.7588249,0.9811704,0.87041384
case_00034,0.9998888,0.94967806,0.94038856,0.9834072,0.9683407
case_00263,0.99963415,0.9117556,0.91074383,0.9755698,0.9494258
case_00466,0.9998005,0.022614526,0.3909795,0.93318206,0.5866442
case_00091,0.999598,0.57685316,0.57683104,0.9554024,0.77717113
case_00439,0.99979043,0.9338613,0.93387014,0.98269624,0.9625545
case_00562,0.99989396,0.81598264,0.8311242,0.981358,0.9070897
case_00052,0.9998025,0.90422773,0.9006065,0.9725426,0.9442948
case_00445,0.9994509,0.93243456,0.93220115,0.97169286,0.95894486
case_00264,0.999793,0.2225783,0.8804745,0.96957284,0.7681047
case_00241,0.9998251,0.8865472,0.8764205,0.9795648,0.93558943
case_00013,0.99974006,0.93625355,0.93626696,0.97684693,0.9622769
case_00415,0.9997718,0.903393,0.9033772,0.97739065,0.9459832
