filename,class0,class1,class2,class3,mean
case_00236,0.99946016,0.95072234,0.9506705,0.9710801,0.96798325
case_00207,0.9998967,0.30967185,0.77599424,0.980266,0.7664572
case_00212,0.9996909,0.7871615,0.7870931,0.9761491,0.88752365
case_00295,0.99970996,0.87772816,0.82003385,0.97096026,0.91710806
case_00547,0.99973464,0.30279845,0.44840544,0.9572111,0.6770374
case_00251,0.9992669,0.8811249,0.8810227,0.95678407,0.92954963
case_00577,0.99959826,0.8786869,0.91637117,0.9711845,0.9414602
case_00548,0.9997274,0.8444969,0.85916674,0.97972053,0.9207779
case_00403,0.99978024,0.9062646,0.9194332,0.9695449,0.94875574
case_00450,0.9997688,0.96891975,0.9677804,0.97469,0.9777897
case_00269,0.99987453,0.9349441,0.92334634,0.973909,0.95801854
case_00201,0.9995609,0.61716264,0.5894316,0.97410643,0.7950654
case_00161,0.9997541,0.90638983,0.904996,0.9759438,0.9467709
case_00043,0.99986833,0.9146336,0.91462326,0.9775131,0.95165956
case_00217,0.9996621,0.87868124,0.8670097,0.9559929,0.9253365
case_00501,0.9999192,0.924573,0.91053444,0.96729505,0.95058036
case_00190,0.9997926,0.9203369,0.9447172,0.97799623,0.96071076
case_00409,0.99983203,0.93428427,0.933496,0.9820551,0.9624169
case_00259,0.99967563,0.91592,0.91428286,0.9561789,0.94651437
case_00105,0.9998429,0.9217005,0.9184998,0.9711042,0.9527868
case_00053,0.999408,0.34989882,0.35013047,0.929124,0.6571403
case_00489,0.99965906,0.9348621,0.9292899,0.96397513,0.95694655
case_00001,0.99960756,0.7945616,0.7634172,0.9617126,0.87982476
case_00532,0.999699,0.5172555,0.5495226,0.970872,0.75933725
case_00571,0.99976003,0.8764832,0.87136275,0.97451997,0.9305315
case_00049,0.999759,0.85977566,0.8575767,0.9688915,0.9215008
case_00080,0.99982387,0.9182166,0.9181834,0.98007303,0.9540742
case_00205,0.9998729,0.72953063,0.8027585,0.9763246,0.8771216
case_00034,0.9998277,0.9108965,0.8888344,0.974511,0.94351745
case_00263,0.99954444,0.8636843,0.8630429,0.96978325,0.92401373
case_00466,0.9997672,0.03301718,0.35327187,0.92124456,0.5768252
case_00091,0.99976605,0.88735867,0.88733274,0.9735688,0.9370066
case_00439,0.99971765,0.93595463,0.93599504,0.97681427,0.9621204
case_00562,0.9998737,0.8194333,0.82484037,0.97786885,0.90550405
case_00052,0.9997754,0.88899255,0.885959,0.96895486,0.9359204
case_00445,0.99933517,0.9001078,0.89850795,0.96572316,0.94091845
case_00264,0.99978256,0.86968946,0.841444,0.9683463,0.9198156
case_00241,0.9998176,0.8979947,0.88704705,0.9787717,0.9409078
case_00013,0.99968356,0.9249772,0.9250125,0.9718931,0.9553916
case_00415,0.9997441,0.8765185,0.8733266,0.97471476,0.931076
case_00088,0.9969329,0.8388148,0.83881265,0.8832012,0.88944036
case_00487,0.9997055,0.75580364,0.56216395,0.94418246,0.8154639
case_00273,0.99971706,0.89833504,0.89702606,0.974062,0.94228506
case_00166,0.9996851,0.9097607,0.90991795,0.9742084,0.948393
case_00428,0.9997663,0.6876804,0.9113466,0.9712659,0.8925148
case_00581,0.9998251,0.87189156,0.8673147,0.98223007,0.9303154
case_00134,0.99965215,0.9350958,0.91793334,0.96903425,0.95542884
case_00406,0.9997749,0.8167014,0.8152176,0.9591403,0.89770854
case_00569,0.9994892,0.7158716,0.64822346,0.97910285,0.8356718
case_00419,0.99976665,0.8037717,0.80359143,0.9810911,0.8970552
case_00243,0.99986374,0.934331,0.928892,0.9794444,0.9606328
case_00054,0.9998614,0.8063597,0.8057471,0.97528064,0.8968122
case_00463,0.99976134,0.0,0.0,0.97303015,0.49319786
case_00050,0.99951726,0.70739424,0.667555,0.9728371,0.83682585
case_00174,0.9996548,0.859375,0.8580766,0.9693805,0.9216217
case_00545,0.9991265,0.89954054,0.8994538,0.9566694,0.9386976
case_00189,0.9996461,0.9409645,0.9299885,0.9657948,0.9590985
case_00585,0.99967164,0.0,0.7340595,0.9565326,0.67256594
case_00187,0.999381,0.9338493,0.93386054,0.96106803,0.9570397
case_00169,0.99981886,0.8922808,0.8916729,0.9741801,0.9394882
case_00058,0.9997557,0.9275234,0.9287898,0.96773994,0.95595217
case_00048,0.9998465,0.91937786,0.9178581,0.97230214,0.95234615
case_00444,0.9997757,0.2698311,0.4137823,0.9767461,0.6650338
case_00235,0.9997893,0.8565351,0.84187484,0.9751716,0.9183427
case_00252,0.99953586,0.95571613,0.94943786,0.9739434,0.9696583
case_00021,0.9996407,0.8505893,0.8529457,0.9737653,0.9192352
case_00413,0.999787,0.7563698,0.8852916,0.97176266,0.9033028
case_00160,0.9992823,0.6384083,0.63823354,0.9719114,0.8119589
case_00276,0.99981004,0.8031897,0.7036911,0.9699374,0.8691571
case_00543,0.999438,0.95160455,0.9362581,0.97024333,0.964386
case_00191,0.9997313,0.89919794,0.8994365,0.9728672,0.9428082
case_00485,0.99959594,0.85615516,0.8535325,0.96800184,0.91932136
case_00293,0.99962324,0.9335882,0.93349594,0.9763799,0.9607718
case_00513,0.9998596,0.9118976,0.8962607,0.972551,0.94514227
case_00443,0.9996193,0.874849,0.86391336,0.9760957,0.9286193
case_00257,0.9990612,0.74422926,0.8575308,0.960635,0.89036405
case_00408,0.9996211,0.969208,0.9684735,0.9791461,0.97911215
case_00149,0.9995902,0.9565205,0.9565396,0.97671217,0.97234064
case_00130,0.9990253,0.88524044,0.88023996,0.96261954,0.9317813
case_00151,0.9996333,0.9383265,0.9355167,0.95691746,0.9575985
case_00459,0.99978775,0.81446517,0.72863835,0.97568595,0.8796443
case_00099,0.99968445,0.9355528,0.93503106,0.96766067,0.95948225
