filename,class0,class1,class2,class3,mean
case_00236,0.99439925,0.62058824,0.61899227,0.76138765,0.7488418
case_00207,0.99983984,0.030083098,0.6487748,0.969317,0.6620037
case_00212,0.9996551,0.8165119,0.8161787,0.97348344,0.9014573
case_00295,0.99969286,0.7710933,0.77157575,0.96904796,0.8778525
case_00547,0.9997146,0.2236578,0.42651278,0.95381474,0.650925
case_00251,0.999104,0.9069688,0.90635926,0.94717467,0.9399017
case_00577,0.99954003,0.8534344,0.88476604,0.9668866,0.92615676
case_00548,0.9995998,0.768792,0.81637514,0.97026616,0.88875824
case_00403,0.9997035,0.8977502,0.9084764,0.95906615,0.9412491
case_00450,0.99968624,0.6894572,0.9618701,0.9656843,0.90417445
case_00269,0.9998279,0.93551993,0.93036973,0.96421367,0.95748276
case_00201,0.9994641,0.7693427,0.77145964,0.9683744,0.8771602
case_00161,0.9996418,0.89629835,0.8782323,0.9651435,0.93482894
case_00043,0.99982643,0.87821144,0.8805173,0.9704004,0.9322389
case_00217,0.99966764,0.9037915,0.8987323,0.95645577,0.93966174
case_00501,0.9998899,0.9096417,0.8976871,0.95565295,0.9407179
case_00190,0.99977255,0.9218954,0.9452191,0.97591907,0.9607015
case_00409,0.99920535,0.84174067,0.80280566,0.92009634,0.890962
case_00259,0.9996193,0.9361114,0.93637204,0.9487317,0.9552086
case_00105,0.99983275,0.9293443,0.9256843,0.96928376,0.95603627
case_00053,0.99974525,0.9548839,0.9548155,0.9708989,0.9700859
case_00489,0.99968344,0.93313104,0.93346375,0.9662807,0.9581397
case_00001,0.9995551,0.754717,0.7343585,0.9563775,0.861252
case_00532,0.9996722,0.7579514,0.7075046,0.9679797,0.85827696
case_00571,0.9997517,0.8811483,0.87743354,0.97369665,0.93300754
case_00049,0.99968743,0.8355674,0.83569473,0.9597141,0.90766597
case_00080,0.99974746,0.9216021,0.9219536,0.9713935,0.9536742
case_00205,0.999834,0.6753011,0.7569693,0.9693064,0.8503527
case_00034,0.99978936,0.9196334,0.9001827,0.96874,0.94708633
case_00263,0.9994923,0.9252167,0.92384666,0.96628255,0.95370954
case_00466,0.9997009,0.39623657,0.62449026,0.9073389,0.73194164
case_00091,0.9996975,0.8934265,0.8929465,0.96594274,0.9380033
case_00439,0.9996211,0.9141386,0.91516966,0.9689974,0.9494817
case_00562,0.9998249,0.8400374,0.83835465,0.9693219,0.9118847
case_00052,0.9997131,0.90710586,0.90116584,0.9603754,0.94209003
case_00445,0.9992859,0.91607153,0.9165314,0.9631729,0.9487654
case_00264,0.99975073,0.8779521,0.88550615,0.96374655,0.93173885
case_00241,0.99977225,0.8498751,0.8594265,0.97350943,0.92064583
case_00013,0.99958646,0.90963125,0.9097272,0.963392,0.94558424
case_00415,0.9997499,0.8963869,0.895876,0.97532344,0.94183403
case_00088,0.998199,0.9186954,0.91843593,0.9380223,0.9433382
case_00487,0.99983364,0.79175466,0.79538864,0.967905,0.8887205
case_00273,0.99963,0.8314129,0.8311199,0.9661378,0.90707517
case_00166,0.99966556,0.91904664,0.9189728,0.9727277,0.95260316
case_00428,0.999727,0.67404383,0.90256155,0.966484,0.88570416
case_00581,0.99973,0.8764294,0.86437005,0.97266734,0.9282992
case_00134,0.9995428,0.9434858,0.9231416,0.95927703,0.9563618
case_00406,0.99982166,0.9367091,0.93645173,0.96826047,0.96031076
case_00569,0.9992067,0.66977364,0.61182827,0.96742207,0.8120577
case_00419,0.9996592,0.82327473,0.82263345,0.9724953,0.9045157
case_00243,0.99978465,0.9064508,0.9030009,0.9676173,0.9442134
case_00054,0.99978894,0.8454293,0.83645046,0.9624721,0.9110352
case_00463,0.99966687,0.0,0.0,0.9626777,0.49058616
case_00050,0.99945134,0.72347605,0.6826497,0.96924305,0.843705
case_00174,0.99952585,0.8667664,0.86523587,0.95803344,0.92239034
case_00545,0.9989761,0.8605877,0.86084026,0.94902277,0.9173567
case_00189,0.99135554,0.62215513,0.33302382,0.53854716,0.6212704
case_00585,0.99965733,0.6703318,0.82754475,0.9544726,0.8630016
case_00187,0.9993422,0.93215615,0.93251157,0.95866007,0.9556675
case_00169,0.9997779,0.8866596,0.8857948,0.9683936,0.93515646
case_00058,0.9997133,0.9310435,0.93184507,0.9621527,0.9561886
case_00048,0.9997887,0.9110945,0.9107418,0.96194166,0.9458917
case_00444,0.9997652,0.19547251,0.39553174,0.97560143,0.64159274
case_00235,0.9997791,0.8873489,0.8739113,0.9740174,0.93376416
case_00252,0.99935436,0.9510234,0.94671917,0.96383196,0.9652322
case_00021,0.999378,0.89729005,0.8277781,0.954613,0.9197648
case_00413,0.9997347,0.7435029,0.89978886,0.9651385,0.9020412
case_00160,0.999209,0.72141546,0.7208458,0.96899086,0.85261524
case_00276,0.9998129,0.8090655,0.8096536,0.97027487,0.8972017
case_00543,0.9993667,0.94023037,0.9333545,0.9663902,0.9598354
case_00191,0.9997026,0.88252014,0.8859029,0.9700793,0.93455124
case_00485,0.9995138,0.8266998,0.82221425,0.9616047,0.90250814
case_00293,0.9995893,0.939734,0.93955517,0.9743299,0.96330214
case_00513,0.99982244,0.91326785,0.8928421,0.9652662,0.9427996
case_00443,0.9994932,0.8643223,0.8341865,0.9682764,0.9165696
case_00257,0.99880916,0.7505682,0.8546434,0.9500187,0.88850987
case_00408,0.99956477,0.9597537,0.9589416,0.9760011,0.9735653
case_00149,0.9995503,0.9480147,0.9484485,0.97441536,0.9676072
case_00130,0.99876964,0.9010712,0.8970756,0.95284057,0.93743926
case_00151,0.9995661,0.9367516,0.93286324,0.9491151,0.954574
case_00459,0.99967635,0.8398087,0.78010947,0.96316904,0.8956909
case_00099,0.99965656,0.79103136,0.9326778,0.9648902,0.922064
case_00472,0.9997452,0.88199747,0.8814699,0.9722419,0.93386364
case_00087,0.99942416,0.87187046,0.8727273,0.9671577,0.92779493
case_00558,0.999642,0.9236083,0.921956,0.96201587,0.95180553
case_00430,0.99660975,0.95166814,0.9499873,0.9546839,0.9632373
case_00214,0.9998647,0.46533725,0.51282054,0.9740874,0.7380275
case_00566,0.9997556,0.7946662,0.7991732,0.95980114,0.88834906
case_00121,0.9996593,0.0,0.5156688,0.9532977,0.61715645
case_00588,0.99944204,0.92544466,0.9252916,0.94728494,0.9493658
case_00020,0.9997745,0.0,0.0,0.9634294,0.49080098
case_00188,0.9996871,0.86572176,0.7901075,0.9685412,0.9060144
case_00071,0.9996102,0.7683845,0.76932925,0.96140563,0.8746824
case_00106,0.99974006,0.7968963,0.79908615,0.96695155,0.8906685
case_00270,0.9996795,0.9404513,0.92758244,0.9668081,0.9586303
case_00448,0.9998677,0.0,0.94561595,0.9732231,0.7296767
case_00535,0.9998622,0.9361989,0.9366368,0.97336423,0.96151555
case_00102,0.9993003,0.95615345,0.9628274,0.96924484,0.9718815
